title;artist;link
How Not To Drown;CHVRCHES, Robert Smith;https://music.yandex.ru/album/18949728/track/84144364
Brooklyn Bridge To Chorus;The Strokes;https://music.yandex.ru/album/10368607/track/64447984
King;Florence + The Machine;https://music.yandex.ru/album/21577650/track/101981286
Cure For Me;AURORA;https://music.yandex.ru/album/20327103/track/86349653
No Choice;Tame Impala;https://music.yandex.ru/album/21421956/track/96790415
Catholic Country;Kings Of Convenience, Feist;https://music.yandex.ru/album/16238665/track/85219247
Like I Used To;Sharon Van Etten, Angel Olsen;https://music.yandex.ru/album/15366824/track/82331574
Твоим именем;Свидание;https://music.yandex.ru/album/16970315/track/87660090
Рыцарь;Наадя;https://music.yandex.ru/album/14924524/track/81047289
Fever;Kings Of Convenience;https://music.yandex.ru/album/16238665/track/83646498
Rocky Trail;Kings Of Convenience;https://music.yandex.ru/album/16238665/track/81738587
Somethinggreater;Parcels;https://music.yandex.ru/album/19039838/track/90374051
Another Love;Tom Odell;https://music.yandex.ru/album/20268394/track/9548590
Atom;Alampa;https://music.yandex.ru/album/18437507/track/92178573
Мальчик, что любил цветы;нежность на бумаге;https://music.yandex.ru/album/17499738/track/89294450
Чужой среди своих;polnalyubvi;https://music.yandex.ru/album/14159850/track/78705989
По разбитым зеркалам;Электрофорез, Женя Меркель;https://music.yandex.ru/album/17906777/track/90535407
If You Ever Leave, I'm Coming with You;The Wombats;https://music.yandex.ru/album/20213167/track/88175682
ASAP;Milow;https://music.yandex.ru/album/14483042/track/79592944
Apocalypse;Cigarettes After Sex;https://music.yandex.ru/album/6174226/track/45912894
Put It on Me;Matt Maeson;https://music.yandex.ru/album/5298626/track/40705055
When I'm Small;Phantogram;https://music.yandex.ru/album/6257329/track/46409994
Feel It Still;Portugal. The Man;https://music.yandex.ru/album/4451826/track/33977439
Seven Nation Army;The White Stripes;https://music.yandex.ru/album/11644078/track/6705392
Superposition;Young the Giant;https://music.yandex.ru/album/5873953/track/42850034
Blackbird;Shake Shake Go;https://music.yandex.ru/album/5630286/track/42583585
The Fall;Rhye;https://music.yandex.ru/album/1000843/track/5425152
Happy Man;Jungle;https://music.yandex.ru/album/5628505/track/41078551
My Blood;twenty one pilots;https://music.yandex.ru/album/5838243/track/42950487
Lisztomania;Phoenix;https://music.yandex.ru/album/9860/track/10554179
Where's My Love;Syml;https://music.yandex.ru/album/20813738/track/33242489
Кометы;polnalyubvi;https://music.yandex.ru/album/11992403/track/70779751
Intro;The xx;https://music.yandex.ru/album/718285/track/6679078
Little Dark Age;MGMT;https://music.yandex.ru/album/5025347/track/37573051
Safe And Sound;Capital Cities, Sebu Simonian, Ryan Merchant;https://music.yandex.ru/album/1953677/track/10883410
Heat Waves;Glass Animals;https://music.yandex.ru/album/17910952/track/66724595
Money;The Drums;https://music.yandex.ru/album/17770346/track/2425833
Black Out Days;Phantogram;https://music.yandex.ru/album/1945815/track/17610420
Take Me To Church;Hozier;https://music.yandex.ru/album/3060154/track/17079396
Breezeblocks;alt-J;https://music.yandex.ru/album/592680/track/5387966
Why'd You Only Call Me When You're High?;Arctic Monkeys;https://music.yandex.ru/album/1581808/track/44093133
Наше лето;Валентин Стрыкало;https://music.yandex.ru/album/415439/track/32656003
Hay Loft;Mother Mother;https://music.yandex.ru/album/60555/track/565378
Life Goes On;Oliver Tree;https://music.yandex.ru/album/15867904/track/84010387
Way Down We Go;KALEO;https://music.yandex.ru/album/3530199/track/24692821
NBA (Не мешай);RSAC, ELLA;https://music.yandex.ru/album/7751733/track/53996716
Heat Waves;Glass Animals, iann dior;https://music.yandex.ru/album/17910952/track/79642740
Colorado;Milky Chance;https://music.yandex.ru/album/18601440/track/82793522
Tom's Diner;AnnenMayKantereit, Giant Rooks;https://music.yandex.ru/album/7864023/track/54516116
Пластинки;Дурной Вкус;https://music.yandex.ru/album/5872052/track/43945741
Daddy Issues;The Neighbourhood;https://music.yandex.ru/album/3040281/track/25713134
Белая ночь;CHERNIKOVSKAYA HATA;https://music.yandex.ru/album/22529350/track/104590756
Human;Rag'n'Bone Man;https://music.yandex.ru/album/4088112/track/29544272
Ты не такая;Валентин Стрыкало;https://music.yandex.ru/album/1608483/track/32655986
Toxic;BoyWithUke;https://music.yandex.ru/album/19035493/track/89439864
Infinity;Jaymes Young;https://music.yandex.ru/album/20878744/track/35719552
Shh;Biig Piig;https://music.yandex.ru/album/9008488/track/58996733
Weak;AJR;https://music.yandex.ru/album/5717735/track/30977038
Wait a Minute!;WILLOW;https://music.yandex.ru/album/3147730/track/26453618
Stressed Out;twenty one pilots;https://music.yandex.ru/album/2747498/track/23559960
Я тебя люблю;Где Фантом?;https://music.yandex.ru/album/11888532/track/70408028
каждый, кто делал тебе больно;забей, лерочка;https://music.yandex.ru/album/16492194/track/86052167
Swimming Pool;Marie Madeleine;https://music.yandex.ru/album/6044249/track/44684364
Rhinestone Eyes;Gorillaz;https://music.yandex.ru/album/57069/track/532905
Проклятие русалки;Green Apelsin;https://music.yandex.ru/album/18838613/track/93480503
Падать в грязь;Монеточка;https://music.yandex.ru/album/7534221/track/52998046
